"@id","State__@id","State__City__@id","State__City__Station__@id","State__City__Station__@lastupdate","State__City__Station__@latitude","State__City__Station__@longitude","State__City__Station__Pollutant_Index__@id","State__City__Station__Pollutant_Index__@Min","State__City__Station__Pollutant_Index__@Max","State__City__Station__Pollutant_Index__@Avg","State__City__Station__Air_Quality_Index__@Value","State__City__Station__Air_Quality_Index__@Predominant_Parameter"
"","","","","","","","NO2","6","27","8","",""
"","","","","","","","NH3","6","7","6","",""
"","","","","","","","SO2","14","20","17","",""
"","","","","","","","CO","24","82","58","",""
"","","","","","","","OZONE","1","39","8","",""
"","","Arrah","New DM Office, Arrah - BSPCB","20-11-2023 12:00:00","25.5626095","84.663264","PM2.5","42","500","259","259","PM2.5"
"","","","","","","","PM10","54","457","171","",""
"","","","","","","","NO2","1","8","3","",""
"","","","","","","","NH3","5","9","7","",""
"","","","","","","","SO2","16","22","18","",""
"","","","","","","","CO","18","29","25","",""
"","","","","","","","OZONE","1","61","13","",""
"","","Aurangabad","Gurdeo Nagar, Aurangabad - BSPCB","20-11-2023 12:00:00","24.75746","84.366208","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","6","16","9","",""
"","","","","","","","NH3","1","1","1","",""
"","","","","","","","SO2","8","18","12","",""
"","","","","","","","CO","16","101","64","",""
"","","","","","","","OZONE","1","76","18","",""
"","","Begusarai","DRCC Anandpur, Begusarai - BSPCB","20-11-2023 12:00:00","25.444266","86.140169","PM2.5","83","478","310","310","PM2.5"
"","","","","","","","PM10","73","423","264","",""
"","","","","","","","NO2","6","55","37","",""
"","","","","","","","NH3","4","8","4","",""
"","","","","","","","SO2","5","18","13","",""
"","","","","","","","CO","24","48","31","",""
"","","","","","","","OZONE","5","82","16","",""
"","","Bettiah","Kamalnath Nagar, Bettiah - BSPCB","20-11-2023 12:00:00","26.80365","84.51954","PM2.5","35","342","191","194","PM10"
"","","","","","","","PM10","60","386","194","",""
"","","","","","","","NO2","NA","NA","NA","",""
"","","","","","","","NH3","5","5","5","",""
"","","","","","","","SO2","9","19","16","",""
"","","","","","","","CO","22","110","84","",""
"","","Bhagalpur","DM Office_Kachari Chowk, Bhagalpur - BSPCB","20-11-2023 12:00:00","25.251013","86.989001","PM2.5","28","308","137","137","PM2.5"
"","","","","","","","PM10","41","151","96","",""
"","","","","","","","NO2","40","76","50","",""
"","","","","","","","NH3","4","8","5","",""
"","","","","","","","SO2","20","29","24","",""
"","","","","","","","CO","14","42","38","",""
"","","","","","","","OZONE","24","40","29","",""
"","","","Mayaganj, Bhagalpur - BSPCB","20-11-2023 12:00:00","25.265194","87.012947","PM2.5","50","332","197","197","PM2.5"
"","","","","","","","PM10","63","264","155","",""
"","","","","","","","NO2","11","30","18","",""
"","","","","","","","NH3","5","8","7","",""
"","","","","","","","SO2","15","27","21","",""
"","","","","","","","CO","12","16","15","",""
"","","","","","","","OZONE","10","18","13","",""
"","","Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","20-11-2023 12:00:00","25.204762","85.51496","PM2.5","20","67","41","73","PM10"
"","","","","","","","PM10","24","127","73","",""
"","","","","","","","NO2","9","10","9","",""
"","","","","","","","NH3","2","2","2","",""
"","","","","","","","SO2","2","12","6","",""
"","","","","","","","CO","10","50","30","",""
"","","","","","","","OZONE","5","72","19","",""
"","","Chhapra","Darshan Nagar, Chhapra - BSPCB","20-11-2023 12:00:00","25.7808257","84.7446768","PM2.5","55","408","273","273","PM2.5"
"","","","","","","","PM10","54","399","193","",""
"","","","","","","","NO2","14","23","20","",""
"","","","","","","","NH3","4","8","6","",""
"","","","","","","","SO2","39","62","51","",""
"","","","","","","","CO","52","95","57","",""
"","","","","","","","OZONE","1","6","2","",""
"","","Gaya","Collectorate, Gaya - BSPCB","20-11-2023 12:00:00","24.7955","84.9994","PM2.5","30","306","177","177","PM2.5"
"","","","","","","","NO2","11","12","11","",""
"","","","","","","","SO2","4","29","16","",""
"","","","","","","","CO","30","66","34","",""
"","","","","","","","OZONE","47","88","57","",""
"","","","Kareemganj, Gaya - BSPCB","20-11-2023 12:00:00","24.792403","84.992416","PM2.5","70","382","240","240","PM2.5"
"","","","","","","","PM10","70","332","175","",""
"","","","","","","","NO2","30","31","31","",""
"","","","","","","","NH3","2","17","5","",""
"","","","","","","","SO2","2","15","9","",""
"","","","","","","","CO","6","40","31","",""
"","","","","","","","OZONE","10","75","32","",""
"","","","SFTI Kusdihra, Gaya - BSPCB","20-11-2023 12:00:00","24.762518","84.982348","PM2.5","19","94","55","55","PM2.5"
"","","","","","","","PM10","39","64","52","",""
"","","","","","","","NO2","12","31","17","",""
"","","","","","","","NH3","3","5","5","",""
"","","","","","","","SO2","7","9","8","",""
"","","","","","","","CO","12","64","50","",""
"","","","","","","","OZONE","4","80","14","",""
"","","Hajipur","Industrial Area, Hajipur - BSPCB","20-11-2023 12:00:00","25.697189","85.2459","PM2.5","19","244","94","158","PM10"
"","","","","","","","PM10","30","425","158","",""
"","","","","","","","NO2","7","20","12","",""
"","","","","","","","NH3","3","5","4","",""
"","","","","","","","SO2","7","9","8","",""
"","","","","","","","CO","20","82","52","",""
"","","","","","","","OZONE","25","38","33","",""
"","","Katihar","Mirchaibari, Katihar - BSPCB","20-11-2023 12:00:00","25.560083","87.553265","PM2.5","13","445","222","222","PM2.5"
"","","","","","","","PM10","42","407","163","",""
"","","","","","","","NO2","28","41","34","",""
"","","","","","","","NH3","6","8","7","",""
"","","","","","","","SO2","18","23","21","",""
"","","","","","","","CO","29","34","33","",""
"","","","","","","","OZONE","20","25","23","",""
"","","Kishanganj","SDM Office_Khagra, Kishanganj - BSPCB","20-11-2023 12:00:00","26.0881305","87.93840336","PM2.5","12","413","138","149","PM10"
"","","","","","","","PM10","27","482","149","",""
"","","","","","","","NO2","45","107","68","",""
"","","","","","","","NH3","8","10","9","",""
"","","","","","","","SO2","13","21","17","",""
"","","","","","","","CO","6","40","12","",""
"","","","","","","","OZONE","7","15","9","",""
"","","Manguraha","Forest Rest House, Manguraha - BSPCB","20-11-2023 12:00:00","27.308328","84.531742","PM2.5","40","217","65","75","PM10"
"","","","","","","","PM10","45","144","75","",""
"","","","","","","","NO2","23","37","29","",""
"","","","","","","","NH3","NA","NA","NA","",""
"","","","","","","","SO2","1","3","1","",""
"","","","","","","","CO","32","70","48","",""
"","","","","","","","OZONE","10","27","20","",""
"","","Motihari","Gandak Colony, Motihari - BSPCB","20-11-2023 12:00:00","26.63086","84.90051","PM2.5","62","372","201","201","PM2.5"
"","","","","","","","PM10","63","319","145","",""
"","","","","","","","NO2","80","127","102","",""
"","","","","","","","NH3","13","21","17","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","35","80","68","",""
"","","","","","","","OZONE","20","89","33","",""
"","","Munger","Town Hall, Munger - BSPCB","20-11-2023 12:00:00","25.376776","86.471523","PM2.5","23","87","49","72","PM10"
"","","","","","","","PM10","36","121","72","",""
"","","","","","","","NO2","18","20","19","",""
"","","","","","","","NH3","3","3","3","",""
"","","","","","","","CO","26","60","46","",""
"","","","","","","","OZONE","1","11","3","",""
"","","Muzaffarpur","Buddha Colony, Muzaffarpur - BSPCB","20-11-2023 12:00:00","26.11442","85.39813","PM2.5","95","375","240","240","PM2.5"
"","","","","","","","PM10","108","408","217","",""
"","","","","","","","NO2","3","12","6","",""
"","","","","","","","NH3","7","9","8","",""
"","","","","","","","SO2","7","40","10","",""
"","","","","","","","CO","48","112","70","",""
"","","","","","","","OZONE","7","89","39","",""
"","","","MIT-Daudpur Kothi, Muzaffarpur - BSPCB","20-11-2023 12:00:00","26.1403345","85.3650192","PM2.5","57","468","272","272","PM2.5"
"","","","","","","","PM10","101","400","206","",""
"","","","","","","","NO2","5","44","9","",""
"","","","","","","","NH3","2","3","2","",""
"","","","","","","","SO2","18","19","18","",""
"","","","","","","","CO","28","50","44","",""
"","","","","","","","OZONE","4","79","19","",""
"","","","Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-11-2023 12:00:00","26.1209","85.3647","PM2.5","33","305","113","113","PM2.5"
"","","","","","","","NO2","46","60","52","",""
"","","","","","","","SO2","3","7","6","",""
"","","","","","","","CO","20","62","42","",""
"","","","","","","","OZONE","31","43","36","",""
"","","Patna","DRM Office Danapur, Patna - BSPCB","20-11-2023 12:00:00","25.586562","85.043586","PM2.5","59","366","222","222","PM2.5"
"","","","","","","","PM10","70","291","175","",""
"","","","","","","","NO2","5","68","31","",""
"","","","","","","","NH3","2","3","2","",""
"","","","","","","","SO2","5","7","6","",""
"","","","","","","","CO","22","117","73","",""
"","","","","","","","OZONE","2","85","19","",""
"","","","Govt. High School Shikarpur, Patna - BSPCB","20-11-2023 12:00:00","25.592539","85.227158","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","NA","NA","NA","",""
"","","","","","","","NH3","NA","NA","NA","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","NA","NA","NA","",""
"","","","","","","","OZONE","NA","NA","NA","",""
"","","","IGSC Planetarium Complex, Patna - BSPCB","20-11-2023 12:00:00","25.5941","85.1376","PM2.5","28","315","140","140","PM2.5"
"","","","","","","","NO2","18","21","19","",""
"","","","","","","","SO2","1","4","3","",""
"","","","","","","","CO","2","9","7","",""
"","","","","","","","OZONE","12","17","15","",""
"","","","Muradpur, Patna - BSPCB","20-11-2023 12:00:00","25.619651","85.147382","PM2.5","143","375","271","306","PM10"
"","","","","","","","PM10","109","462","306","",""
"","","","","","","","NO2","7","93","34","",""
"","","","","","","","NH3","1","18","5","",""
"","","","","","","","SO2","6","30","13","",""
"","","","","","","","CO","5","128","54","",""
"","","","","","","","OZONE","2","52","15","",""
"","","","Rajbansi Nagar, Patna - BSPCB","20-11-2023 12:00:00","25.599486","85.113666","PM2.5","58","96","76","158","PM10"
"","","","","","","","PM10","87","296","158","",""
"","","","","","","","NO2","22","76","45","",""
"","","","","","","","NH3","6","10","7","",""
"","","","","","","","SO2","23","28","26","",""
"","","","","","","","CO","42","93","74","",""
"","","","","","","","OZONE","1","82","21","",""
"","","","Samanpura, Patna - BSPCB","20-11-2023 12:00:00","25.596727","85.085624","PM2.5","45","400","263","263","PM2.5"
"","","","","","","","PM10","85","312","186","",""
"","","","","","","","NO2","9","35","18","",""
"","","","","","","","NH3","7","11","9","",""
"","","","","","","","SO2","7","14","10","",""
"","","","","","","","CO","14","102","70","",""
"","","","","","","","OZONE","17","63","34","",""
"","","Purnia","Mariam Nagar, Purnia - BSPCB","20-11-2023 12:00:00","25.366336","87.117468","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","NA","NA","NA","",""
